query-id	corpus-id	score
s0	doc75490	1
s1	doc75490	1
s2	doc75490	1
s3	doc75490	1
s4	doc75490	1
s5	doc75490	1
s6	doc75490	1
s7	doc75490	1
s8	doc75490	1
s9	doc75490	1
s10	doc118371	1
s11	doc118371	1
s12	doc118371	1
s13	doc118371	1
s14	doc118371	1
s15	doc118371	1
s16	doc118371	1
s17	doc118371	1
s18	doc118371	1
s19	doc118371	1
s20	doc1271114	1
s21	doc1271114	1
s22	doc1271114	1
s23	doc1271114	1
s24	doc1271114	1
s25	doc1271114	1
s26	doc1271114	1
s27	doc1271114	1
s28	doc1271114	1
s29	doc1271114	1
s30	doc288512	1
s31	doc288512	1
s32	doc288512	1
s33	doc288512	1
s34	doc288512	1
s35	doc288512	1
s36	doc288512	1
s37	doc288512	1
s38	doc288512	1
s39	doc288512	1
s40	doc299828	1
s41	doc299828	1
s42	doc299828	1
s43	doc299828	1
s44	doc299828	1
s45	doc299828	1
s46	doc299828	1
s47	doc299828	1
s48	doc299828	1
s49	doc299828	1
s50	doc1572384	1
s51	doc1572384	1
s52	doc1572384	1
s53	doc1572384	1
s54	doc1572384	1
s55	doc1572384	1
s56	doc1572384	1
s57	doc1572384	1
s58	doc1572384	1
s59	doc1572384	1
s60	doc5639	1
s61	doc5639	1
s62	doc5639	1
s63	doc5639	1
s64	doc5639	1
s65	doc5639	1
s66	doc5639	1
s67	doc5639	1
s68	doc5639	1
s69	doc5639	1
s70	doc609258	1
s71	doc609258	1
s72	doc609258	1
s73	doc609258	1
s74	doc609258	1
s75	doc609258	1
s76	doc609258	1
s77	doc609258	1
s78	doc609258	1
s79	doc609258	1
s80	doc1483231	1
s81	doc1483231	1
s82	doc1483231	1
s83	doc1483231	1
s84	doc1483231	1
s85	doc1483231	1
s86	doc1483231	1
s87	doc1483231	1
s88	doc1483231	1
s89	doc1483231	1
s90	doc1421011	1
s91	doc1421011	1
s92	doc1421011	1
s93	doc1421011	1
s94	doc1421011	1
s95	doc1421011	1
s96	doc1421011	1
s97	doc1421011	1
s98	doc1421011	1
s99	doc1421011	1
s100	doc1853478	1
s101	doc1853478	1
s102	doc1853478	1
s103	doc1853478	1
s104	doc1853478	1
s105	doc1853478	1
s106	doc1853478	1
s107	doc1853478	1
s108	doc1853478	1
s109	doc1853478	1
s110	doc1621320	1
s111	doc1621320	1
s112	doc1621320	1
s113	doc1621320	1
s114	doc1621320	1
s115	doc1621320	1
s116	doc1621320	1
s117	doc1621320	1
s118	doc1621320	1
s119	doc1621320	1
